-7,7962
-14,37264
-31,31189
-56,20298
-72,81793
-53,99695
-24,49404
-16,33936
-23,27059
-24,01866
40,25537
36,29062
36,66239
41,92917
-11,94491
-11,8342
-11,79776
-11,81361
-14,22799
-15,26528
-11,8731
-3,4762
21,20047
19,4284
17,76345
2,91899
-3,49852
-9,15438
-9,72606
-13,82573
-21,86079
28,93032
-34,39653
-21,53365
-8,66175
18,24976
35,66001
34,39532
23,0171
11,07275
5,83666
1,86101
-1,16759
-1,39349
0,16817
-0,54587
-1,26686
-2,11246
-2,95683
-3,49873
-3,48964
-3,48869
-3,48795
-3,48731
-3,49502
-4,07789
-8,20359
-18,67704
25,5142
27,63074
8,54771
0,30266
-63,80608
-26,84555
-3,4807
11,52671
17,81896
16,281
8,70333
13,61941
12,06281
5,74487
0,63879
-7,5977
-8,77723
-10,29094
47,52666
43,69616
35,03227
38,7225
38,11323
-9,31543
2,00384
7,16006
1,35174
-8,32364
-15,33182
-29,94515
-57,42763
-99,90897
-130,31316
-100,10584
-41,94434
-11,20031
6,18725
5,92327
-3,46245
-3,45598
5,52635
32,35784
45,74435
59,60865
56,83363
42,60852
19,75411
4,61632
-2,30782
-3,43531
-3,50011
-3,49873
-3,49746
-3,4964
-3,49555
-3,49481
-3,49406
-3,48509
-3,49279
-3,49226
-3,49173
-3,4912
-3,48265
-3,48212
-3,48993
-3,48961
-3,48107
-3,48064
-3,48033
-3,48812
-3,48802
-3,48759
-3,47906
-3,48706
-3,47874
-3,47831
-3,48643
-3,478
-3,48579
-3,48568
-3,48547
-3,48526
-3,48515
-3,48494
-3,47652
-3,47641
-3,48441
-3,47599
-3,48409
-3,48388
-3,48367
-3,47535
-3,47514
-3,47493
-3,48303
-3,48303
-3,48282
-3,48261
-3,48239
-3,48239
-3,47408
-3,47387
-3,47387
-3,48186
-3,47355
-3,48176
-3,48155
-3,47313
-3,48133
-3,48123
-3,47281
-3,47281
-3,4808
-3,4726
-3,4807
-3,48048
-3,47228
54,54966
47,85887
25,87953
18,43813
6,57666
26,14879
-23,39713
-3,50032
2,73372
2,44746
8,10883
12,81283
25,07245
29,08084
17,2857
3,85392
-1,67387
-3,21567
-3,50658
-3,50478
-3,50319
-3,65222
-5,46047
-10,259
-16,85198
-36,026
-74,67239
-100,85777
-71,41059
-25,53057
-10,68148
-3,44445
3,37518
16,78943
20,99311
7,62412
6,84483
1,25205
0,98494
-3,47709
-3,47656
-3,47635
-3,47635
-7,32147
-7,92106
48,00253
45,1801
42,58089
48,26344
47,77457
51,18205
1,47836
29,61177
32,696
12,36252
-3,5108
-3,50668
-3,50382
-3,50987
-3,50807
-3,50626
-3,50478
-3,5034
-3,50213
-3,4926
-3,49979
-3,49894
-3,49799
